Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
9/6/2017,President Choice H,President's Choice MasterCard H9W8Q4,70,debit,Credit Card Payment,TD STUDENT CHEQUING ACCOUNT,,
9/6/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Transfer from TD STUDENT CHEQUING ACCOUNT 6349656 HT334,1000,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
9/6/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Simply Save from TD STUDENT CHEQUING ACCOUNT 05636349656,0.5,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
9/6/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Transfer from TD STUDENT CHEQUING ACCOUNT 6349656 HT341,700,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
9/5/2017,Loblaws,LOBLAWS 95.3,25.51,debit,Groceries,MASTERCARD,,
9/5/2017,Tim Horton's,TIM HORTONS 3169 QTH,1.77,debit,Coffee Shops,TD GREEN VISA,,
9/5/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,PAYMENT - THANK YOU,564.3,credit,Credit Card Payment,TD GREEN VISA,,
9/5/2017,Canada Gsl,CANADA GSL,3094,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
9/5/2017,Canada Gsl,CANADA GSL,1381,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
9/5/2017,Td ATM Withdrawal,TD ATM W/D 005267,20,debit,Misc Expenses,TD STUDENT CHEQUING ACCOUNT,,
9/5/2017,Transfer Tfsa R,Transfer to TFSA 11R253J WQ244,3094,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
9/5/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card WQ250,564.3,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
9/5/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Transfer to TD EVERY DAY SAVINGS ACCOUNT 6446058 WQ254,500,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
9/5/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Transfer from TD STUDENT CHEQUING ACCOUNT 6349656 WQ254,500,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
9/1/2017,Loblaws,LOBLAWS 95.3,8.69,debit,Groceries,MASTERCARD,,
9/1/2017,LCBO,LCBO/RAO #0384,21.2,debit,Alcohol & Bars,TD GREEN VISA,,
9/1/2017,Transfer Personal Payee,Transfer to Personal Payee LINE A8X5J6,10,debit,Groceries,TD STUDENT CHEQUING ACCOUNT,,
8/31/2017,Interest,INTEREST CREDIT,0.08,credit,Interest Income,TD EVERY DAY SAVINGS ACCOUNT,,
8/30/2017,Joe Mamma Cycles,JOE MAMMA CYCLES,552.22,debit,Sports,TD GREEN VISA,,
8/29/2017,Mobile Deposit,MOBILE DEPOSIT,86.91,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
8/29/2017,Bmo Z U,BMO MasterCard Z8U3L4,11.99,debit,Credit Card Payment,TD STUDENT CHEQUING ACCOUNT,,
8/28/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,PAYMENT - THANK YOU,500,credit,Credit Card Payment,TD GREEN VISA,,
8/28/2017,President Choice Z,President's Choice MasterCard Z5Q2R5,60.37,debit,Credit Card Payment,TD STUDENT CHEQUING ACCOUNT,,
8/28/2017,Email Tfr C,EMAIL TFR C0***6jm,15,debit,Mortgage & Rent,TD STUDENT CHEQUING ACCOUNT,,
8/28/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card RW005,500,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
8/28/2017,Transfer from TD EVERY DAY SAVINGS ACCOUNT,Transfer from TD EVERY DAY SAVINGS ACCOUNT 6446058 RW063,500,credit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
8/28/2017,E Tfr C,E TFR C0***2a7,2300,debit,Mortgage & Rent,TD EVERY DAY SAVINGS ACCOUNT,,
8/28/2017,Send E Tfr,SEND E-TFR FEE,1,debit,Fees & Charges,TD EVERY DAY SAVINGS ACCOUNT,,
8/28/2017,E Tfr C,E TFR C2***uST,730,credit,Income,TD EVERY DAY SAVINGS ACCOUNT,,
8/28/2017,Transfer to TD STUDENT CHEQUING ACCOUNT,Transfer to TD STUDENT CHEQUING ACCOUNT 6349656 RW063,500,debit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
8/27/2017,Mantovani,MANTOVANI 1946,4.8,debit,Restaurants,TD GREEN VISA,,
8/27/2017,Joe Mamma Cycles,JOE MAMMA CYCLES,380,debit,Sports,TD GREEN VISA,,
8/26/2017,Td Place Stadium,TD PLACE STADIUM,20.91,debit,Alcohol & Bars,TD GREEN VISA,,
8/26/2017,LCBO,LCBO/RAO #0384,8.4,debit,Alcohol & Bars,TD GREEN VISA,,
8/26/2017,Td Place Stadium,TD PLACE STADIUM,9.5,debit,Alcohol & Bars,TD GREEN VISA,,
8/25/2017,Email Tfr C,EMAIL TFR C2***ctQ,775,credit,Income,TD EVERY DAY SAVINGS ACCOUNT,,
8/24/2017,Capital Barber Shop,CAPITAL BARBER SHOP,40.68,debit,Hair,TD GREEN VISA,,
8/23/2017,Online Payment,PAYMENT - THANK YOU,437.66,credit,Hide from Budgets & Trends,TD GREEN VISA,,
8/23/2017,Capital Home Hardware,CAPITAL HOME HARDWARE,4.85,debit,Home Improvement,TD GREEN VISA,,
8/23/2017,Transfer Td Hj,Transfer to TD Credit Card HJ401,437.66,debit,Credit Card Payment,TD STUDENT CHEQUING ACCOUNT,,
8/23/2017,Canada Pay,CANADA PAY,1334.18,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
8/23/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Transfer to TD EVERY DAY SAVINGS ACCOUNT 6446058 HW323,800,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
8/23/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Transfer from TD STUDENT CHEQUING ACCOUNT 6349656 HW323,800,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
8/22/2017,YMCA,YMCA-YWCA NATIONAL CAPITA,42.94,debit,Gym,TD GREEN VISA,,
8/21/2017,Dollarama,DOLLARAMA # 697,22.6,debit,Home Improvement,TD GREEN VISA,,
8/21/2017,President Choice X,President's Choice MasterCard X4H8J3,40,debit,Credit Card Payment,TD STUDENT CHEQUING ACCOUNT,,
8/19/2017,Dollarama,DOLLARAMA # 697,7.06,debit,Home Improvement,TD GREEN VISA,,
8/18/2017,Petrocan B,PETROCAN-1988 ST JOSEPH B,20,debit,Gas & Fuel,TD GREEN VISA,,
8/18/2017,Canadian Tire,CDN TIRE STORE #00422,45.17,debit,Furnishings,TD GREEN VISA,,
8/18/2017,Canadian Tire,CDN TIRE STORE #00174,6.77,debit,Furnishings,TD GREEN VISA,,
8/18/2017,IKEA,IKEA OTTAWA,75.65,debit,Furnishings,TD GREEN VISA,,
8/18/2017,Rona,RONA HOME & GARDEN #55550,38.5,debit,Furnishings,TD GREEN VISA,,
8/16/2017,Transfer Personal Payee,Transfer to Personal Payee LINE U8K8Q6,61,debit,Mobile Phone,TD STUDENT CHEQUING ACCOUNT,,
8/15/2017,Elgin Beer Project,ELGIN BEER PROJECT,8.04,debit,Alcohol & Bars,TD GREEN VISA,,
8/15/2017,Datsun Restaurant,DATSUN RESTAURANT,28.25,debit,Alcohol & Bars,TD GREEN VISA,,
8/15/2017,iTunes,APL* ITUNES.COM/BILL,4.99,debit,Music,TD GREEN VISA,,
8/14/2017,Bmo R Z,BMO MasterCard R7Z6Z7,23,debit,Misc Expenses,TD STUDENT CHEQUING ACCOUNT,,
8/12/2017,Nbx Fitnessware Hostyle,NBX*FitnessWare-Hostyle,84.75,debit,Gym,TD GREEN VISA,,
8/12/2017,Canada Computers,CANADA COMPUTERS,45.19,credit,Home Supplies,TD GREEN VISA,,
8/12/2017,Urban Outfitters,URBAN OUTFITTERS,55.88,debit,Home Supplies,TD GREEN VISA,,
8/10/2017,Marriott,OTTAWA MARRIOTT F&B,23.21,debit,Parking,TD GREEN VISA,,
8/10/2017,Elgin Beer Project,ELGIN BEER PROJECT,16.79,debit,Restaurants,TD GREEN VISA,,
8/10/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Transfer to TD EVERY DAY SAVINGS ACCOUNT 6446058 IG332,250,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
8/10/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Transfer from TD STUDENT CHEQUING ACCOUNT 6349656 IG332,250,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
8/9/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,PAYMENT - THANK YOU,92.48,credit,Credit Card Payment,TD GREEN VISA,,
8/9/2017,Canada Computers,CANADA COMPUTERS,45.19,debit,Home Supplies,TD GREEN VISA,,
8/9/2017,Canada Pay,CANADA PAY,1334.18,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
8/9/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card HG533,92.48,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
8/9/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Transfer to TD EVERY DAY SAVINGS ACCOUNT 6446058 HG540,1000,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
8/9/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Transfer from TD STUDENT CHEQUING ACCOUNT 6349656 HG540,1000,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
8/8/2017,Online Payment,PAYMENT - THANK YOU,30,credit,Hide from Budgets & Trends,TD GREEN VISA,,
8/8/2017,Online Payment,PAYMENT - THANK YOU,30,credit,Hide from Budgets & Trends,TD GREEN VISA,,
8/8/2017,Online Payment,PAYMENT - THANK YOU,30,credit,Hide from Budgets & Trends,TD GREEN VISA,,
8/8/2017,E Tfr C,E TFR C0***N4Y,25,debit,Internet,TD STUDENT CHEQUING ACCOUNT,,
8/8/2017,E Tfr C,E TFR C2***8cS,33,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
8/8/2017,Transfer from TD EVERY DAY SAVINGS ACCOUNT,Transfer from TD EVERY DAY SAVINGS ACCOUNT 6446058 LJ272,250,credit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
8/8/2017,Transfer to MASTERCARD,President's Choice MasterCard L9U7X5,183.87,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
8/8/2017,Transfer Personal Payee,Transfer from Personal Payee RICHARD L,50.32,credit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
8/8/2017,Transfer to TD STUDENT CHEQUING ACCOUNT,Transfer to TD STUDENT CHEQUING ACCOUNT 6349656 LJ272,250,debit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
8/6/2017,Sport Chek,WWW.SPORTCHEK.CA,30,debit,Shopping,TD GREEN VISA,,
8/6/2017,Sport Chek,WWW.SPORTCHEK.CA,90,debit,Clothing,TD GREEN VISA,Reimbursable,
8/6/2017,Metro,METRO GLEBE,11.62,debit,Groceries,TD GREEN VISA,,
8/6/2017,Metro,METRO GLEBE,5.99,credit,Groceries,TD GREEN VISA,,
8/6/2017,Costco,COSTCO WHOLESALE W542,66,debit,Groceries,MASTERCARD,,
8/5/2017,Metro,METRO #275,22.47,debit,Groceries,TD GREEN VISA,,
8/5/2017,LCBO,LCBO/RAO #0384,14.45,debit,Restaurants,TD GREEN VISA,,
8/5/2017,Loblaws,LOBLAWS 95.3,14.19,debit,Groceries,TD GREEN VISA,,
8/4/2017,Capital Home Hardware,CAPITAL HOME HARDWARE,5.74,debit,Home Supplies,TD GREEN VISA,,
8/3/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,0.5,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
8/3/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Simply Save from TD STUDENT CHEQUING ACCOUNT 05636349656,0.5,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
8/2/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,PAYMENT - THANK YOU,169.82,credit,Hide from Budgets & Trends,TD GREEN VISA,,
8/2/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Transfer to TD EVERY DAY SAVINGS ACCOUNT 6446058 HW292,1000,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
8/2/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card HG292,169.82,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
8/2/2017,Td ATM Withdrawal,TD ATM W/D 009029,50,debit,Misc Expenses,TD STUDENT CHEQUING ACCOUNT,,
8/2/2017,Email Tfr C,EMAIL TFR C2***Ftq,61.89,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
8/2/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Transfer from TD STUDENT CHEQUING ACCOUNT 6349656 HW292,1000,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
8/1/2017,Online Payment,PAYMENT - THANK YOU,270.1,credit,Hide from Budgets & Trends,TD GREEN VISA,,
8/1/2017,Transfer Td Ww,Transfer to TD Credit Card WW095,270.1,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
8/1/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,0.5,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
8/1/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Simply Save from TD STUDENT CHEQUING ACCOUNT 05636349656,0.5,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
7/31/2017,Winners,WINNERSHOMESENSE 31106,99.39,debit,Home Supplies,TD GREEN VISA,,
7/31/2017,Bed Bath & Beyond,BED BATH & BEYOND #2003,25.98,debit,Home Supplies,TD GREEN VISA,,
7/31/2017,Td ATM Withdrawal,TD ATM W/D 007821,40,debit,Misc Expenses,TD STUDENT CHEQUING ACCOUNT,,
7/31/2017,Interest,INTEREST CREDIT,0.01,credit,Interest Income,TD EVERY DAY SAVINGS ACCOUNT,,
7/30/2017,Food Basics,FOOD BASICS #663,10.14,debit,Groceries,TD GREEN VISA,,
7/30/2017,Cdn Tire Gasbar,CDN TIRE GASBAR #01615,44.45,debit,Gas & Fuel,TD GREEN VISA,,
7/30/2017,Metro,METRO #265,51.15,debit,Groceries,TD GREEN VISA,,
7/29/2017,Penske,PENSKE TRK LSG 260310,61.9,debit,Misc Expenses,TD GREEN VISA,Reimbursable,
7/29/2017,Penske,PENSKE TRK LSG 260310,61.89,debit,Misc Expenses,TD GREEN VISA,,
7/29/2017,Loblaws,LOBLAWS 95.3,24.66,debit,Groceries,TD GREEN VISA,,
7/29/2017,Loblaws,LOBLAWS 95.3,7.98,debit,Groceries,TD GREEN VISA,,
7/28/2017,Ottawa Pizza,OTTAWA PIZZA,15.81,debit,Restaurants,TD GREEN VISA,,
7/28/2017,Chapters Indigo,INDIGO - 234 LAURIER,14,debit,Gas & Fuel,TD GREEN VISA,,
7/28/2017,Gooneys Sandwich Works,GOONEYS SANDWICH WORKS,7.9,debit,Restaurants,TD GREEN VISA,,
7/28/2017,Capital Home Hardware,CAPITAL HOME HARDWARE,14.67,debit,Home Supplies,TD GREEN VISA,,
7/26/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,PAYMENT - THANK YOU,143.03,credit,Hide from Budgets & Trends,TD GREEN VISA,,
7/26/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card HG305,143.03,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
7/26/2017,Canada Pay,CANADA PAY,1334.17,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
7/24/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,PAYMENT - THANK YOU,58.07,credit,Hide from Budgets & Trends,TD GREEN VISA,,
7/24/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card LW545,58.07,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
7/23/2017,Chocolats Favoris,CHOCOLATS FAVORIS 109,4.28,debit,Fast Food,TD GREEN VISA,,
7/21/2017,Mucho Burrito,MUCHO BURRITO,13.5,debit,Fast Food,TD GREEN VISA,,
7/21/2017,Home Depot,THE HOME DEPOT #7118,86.91,debit,Home Improvement,TD GREEN VISA,Reimbursable,
7/19/2017,Brewers Sparks,THE 3 BREWERS SPARKS,38.34,debit,Restaurants,TD GREEN VISA,,
7/17/2017,Online Payment,PAYMENT - THANK YOU,240,credit,Hide from Budgets & Trends,TD GREEN VISA,,
7/17/2017,Online Payment,PAYMENT - THANK YOU,24.5,credit,Hide from Budgets & Trends,TD GREEN VISA,,
7/17/2017,Online Payment,PAYMENT - THANK YOU,30,credit,Hide from Budgets & Trends,TD GREEN VISA,,
7/17/2017,Transfer Td Uq,Transfer to TD Credit Card UQ551,24.5,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
7/17/2017,Transfer Td Ui,Transfer to TD Credit Card UI555,240,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
7/16/2017,Mr Gas,MR. GAS #37,46.89,debit,Gas & Fuel,TD GREEN VISA,,
7/15/2017,Imperial Barber Shop,IMPERIAL BARBER SHOP TENT,41.19,debit,Hair,TD GREEN VISA,,
7/15/2017,Mto Rus So,MTO RUS- SO ECHANNEL,240,debit,Groceries,TD GREEN VISA,,
7/15/2017,iTunes,APL* ITUNES.COM/BILL,4.99,debit,Music,TD GREEN VISA,,
7/14/2017,Online Payment,PAYMENT - THANK YOU,21.75,credit,Hide from Budgets & Trends,TD GREEN VISA,,
7/14/2017,Mucho Burrito,MUCHO BURRITO,13.5,debit,Fast Food,TD GREEN VISA,,
7/14/2017,Online Payment,PAYMENT - THANK YOU,63,credit,Hide from Budgets & Trends,TD GREEN VISA,,
7/14/2017,Transfer Td Jg,Transfer to TD Credit Card JG390,63,debit,Mobile Phone,TD STUDENT CHEQUING ACCOUNT,,
7/12/2017,Nbx Fitnessware Hostyle,NBX*FitnessWare-Hostyle,84.75,debit,Hide from Budgets & Trends,TD GREEN VISA,,
7/12/2017,Canada Pay,CANADA PAY,1334.18,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
7/12/2017,Transfer Personal Payee,Transfer to Personal Payee LINE X5A2X7,600,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
7/10/2017,E Tfr C,E TFR C0***MeM,2300,debit,Mortgage & Rent,TD STUDENT CHEQUING ACCOUNT,,
7/10/2017,E Tfr C,E TFR C0***2VC,2300,debit,Mortgage & Rent,TD STUDENT CHEQUING ACCOUNT,,
7/10/2017,Woody Pub,WOODY'S PUB,6,debit,Alcohol & Bars,TD GREEN VISA,,
7/10/2017,Interac E Transfer,Interac e-Transfer C0***2VC,2300,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
7/10/2017,Canada Pro,CANADA PRO,10,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
7/10/2017,Transfer Tfsa R,Transfer from TFSA 11R253J JZ474,25,credit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
7/10/2017,Interac E Transfer,Interac e-Transfer C0***MeM,2300,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
7/7/2017,Transfer Tfsa R,Transfer from TFSA 11R253J JR465,150,credit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
7/7/2017,Interac E Transfer,Interac e-Transfer C2***xsp,1534,credit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
7/7/2017,Interac E Transfer,Interac e-Transfer C2***nRp,1534,credit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
7/7/2017,Transfer from TD EVERY DAY SAVINGS ACCOUNT,Transfer from TD EVERY DAY SAVINGS ACCOUNT 6446058 JR475,1318,credit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
7/7/2017,Transfer to TD STUDENT CHEQUING ACCOUNT,Transfer to TD STUDENT CHEQUING ACCOUNT 6349656 JR475,1318,debit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
7/6/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,PAYMENT - THANK YOU,137.97,credit,Hide from Budgets & Trends,TD GREEN VISA,,
7/6/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card IH205,137.97,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
7/5/2017,Canada Gst,CANADA GST,106.75,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
7/4/2017,Ultramar,ULTRAMAR #32720,45.11,debit,Gas & Fuel,TD GREEN VISA,,
7/3/2017,Junction Grill,JUNCTION GRILL,32.67,debit,Alcohol & Bars,TD GREEN VISA,,
7/1/2017,New Shawarma King,THE NEW SHAWARMA KING,9.03,debit,Fast Food,TD GREEN VISA,,
6/30/2017,The Beer Store,THE BEER STORE #4626,40,debit,Alcohol & Bars,TD GREEN VISA,,
6/30/2017,Interest,INTEREST CREDIT,0.01,credit,Interest Income,TD EVERY DAY SAVINGS ACCOUNT,,
6/29/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,PAYMENT - THANK YOU,190.43,credit,Hide from Budgets & Trends,TD GREEN VISA,,
6/29/2017,Smokes Poutinerie,SMOKES POUTINERIE,11.16,debit,Fast Food,TD GREEN VISA,,
6/29/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card IW525,190.43,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
6/29/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Transfer to TD EVERY DAY SAVINGS ACCOUNT 6446058 IW535,1100,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
6/29/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Transfer from TD STUDENT CHEQUING ACCOUNT 6349656 IW535,1100,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
6/28/2017,Canada Pay,CANADA PAY,1334.18,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
6/24/2017,The Beer Store,THE BEER STORE #4626,38.95,debit,Alcohol & Bars,TD GREEN VISA,,
6/19/2017,Bmo J L,BMO MasterCard J3L7A9,37.76,debit,Credit Card Payment,TD STUDENT CHEQUING ACCOUNT,,
6/19/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,0.5,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
6/19/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Simply Save from TD STUDENT CHEQUING ACCOUNT 05636349656,0.5,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
6/16/2017,Td ATM Withdrawal,TD ATM W/D 005364,20,debit,Alcohol & Bars,TD STUDENT CHEQUING ACCOUNT,,
6/15/2017,Online Payment,PAYMENT - THANK YOU,27.08,credit,Hide from Budgets & Trends,TD GREEN VISA,,
6/15/2017,iTunes,APL* ITUNES.COM/BILL,4.99,debit,Music,TD GREEN VISA,,
6/15/2017,Online Payment,PAYMENT - THANK YOU,51,credit,Hide from Budgets & Trends,TD GREEN VISA,,
6/15/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Transfer to TD EVERY DAY SAVINGS ACCOUNT 6446058 IT440,150,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
6/15/2017,Transfer Personal Payee,Transfer to Personal Payee LINE H6A7K7,600,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
6/15/2017,Simply Save Td,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,0.5,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
6/15/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Simply Save from TD STUDENT CHEQUING ACCOUNT 05636349656,0.5,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
6/15/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Transfer from TD STUDENT CHEQUING ACCOUNT 6349656 IT440,150,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
6/14/2017,Royal,THE ROYAL OAK # 4,25.59,debit,Financial,TD GREEN VISA,,
6/14/2017,Royal,THE ROYAL OAK # 4,11.07,debit,Financial,TD GREEN VISA,,
6/14/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,PAYMENT - THANK YOU,668.11,credit,Hide from Budgets & Trends,TD GREEN VISA,,
6/14/2017,Fitness Warehouse,FITNESS WAREHOUSE INC,84.75,debit,Gym,TD GREEN VISA,,
6/14/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Interac e-Transfer Fee,0.5,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
6/14/2017,Td ATM Withdrawal,TD ATM W/D 004338,40,debit,Alcohol & Bars,TD STUDENT CHEQUING ACCOUNT,,
6/14/2017,Canada Pay,CANADA PAY,1334.18,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
6/14/2017,Interac E Transfer,Interac e-Transfer C0***HR5,30,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
6/14/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card WN252,668.11,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
6/13/2017,Houle Sports,HOULE SPORTS,56.5,debit,Sports,TD GREEN VISA,,
6/13/2017,Ultramar,ULTRAMAR #32720,46.66,debit,Gas & Fuel,TD GREEN VISA,,
6/11/2017,Mucho Burrito,MUCHO BURRITO,23.62,debit,Restaurants,TD GREEN VISA,,
6/9/2017,Gooneys Sandwich Works,GOONEYS SANDWICH WORKS,9.03,debit,Restaurants,TD GREEN VISA,,
6/8/2017,Loblaws,LOBLAWS RCSS #1071,72.32,debit,Groceries,TD GREEN VISA,,
6/6/2017,Sail Outdoors,SAIL OUTDOORS INC,355.11,debit,Clothing,TD GREEN VISA,,
6/6/2017,Bulk Barn,BULK BARN STORE #712,8.8,debit,Groceries,TD GREEN VISA,,
6/6/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,0.5,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
6/6/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Simply Save from TD STUDENT CHEQUING ACCOUNT 05636349656,0.5,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
6/5/2017,Td ATM Withdrawal,TD ATM W/D 006490,20,debit,Alcohol & Bars,TD STUDENT CHEQUING ACCOUNT,,
6/4/2017,Ultramar,ULTRAMAR #32720,47.98,debit,Gas & Fuel,TD GREEN VISA,,
6/3/2017,Orleans Bowling Ctr,ORLEANS BOWLING,10,debit,Amusement,TD GREEN VISA,,
6/3/2017,LCBO,LCBO/RAO #0624,17.85,debit,Alcohol & Bars,TD GREEN VISA,,
6/3/2017,Wal-Mart,WAL-MART SUPERCENTER#3065,27.08,debit,Pharmacy,TD GREEN VISA,,
6/3/2017,Mucho Burrito,MUCHO BURRITO,13.5,debit,Restaurants,TD GREEN VISA,,
